Gene,Gene Name,log_2 fold change,Biotype,Tractability,Drug,Interaction Type,PMID,Interaction Score,Pathways
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000199204"" target=""_blank"">ENSG00000199204</a>",Y_RNA,2.3,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000199204"" target=""_blank"">ENSG00000199204</a>",Y_RNA,2.3,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000199204"" target=""_blank"">ENSG00000199204</a>",Y_RNA,2.3,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000199204"" target=""_blank"">ENSG00000199204</a>",Y_RNA,2.3,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000199204"" target=""_blank"">ENSG00000199204</a>",Y_RNA,2.3,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000199204"" target=""_blank"">ENSG00000199204</a>",Y_RNA,2.3,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000199204"" target=""_blank"">ENSG00000199204</a>",Y_RNA,2.3,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000199204"" target=""_blank"">ENSG00000199204</a>",Y_RNA,2.3,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000199204"" target=""_blank"">ENSG00000199204</a>",Y_RNA,2.3,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000199204"" target=""_blank"">ENSG00000199204</a>",Y_RNA,2.3,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000199204"" target=""_blank"">ENSG00000199204</a>",Y_RNA,2.3,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000199204"" target=""_blank"">ENSG00000199204</a>",Y_RNA,2.3,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000199204"" target=""_blank"">ENSG00000199204</a>",Y_RNA,2.3,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000199204"" target=""_blank"">ENSG00000199204</a>",Y_RNA,2.3,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000199204"" target=""_blank"">ENSG00000199204</a>",Y_RNA,2.3,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000199204"" target=""_blank"">ENSG00000199204</a>",Y_RNA,2.3,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000199204"" target=""_blank"">ENSG00000199204</a>",Y_RNA,2.3,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000199204"" target=""_blank"">ENSG00000199204</a>",Y_RNA,2.3,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000199204"" target=""_blank"">ENSG00000199204</a>",Y_RNA,2.3,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000199204"" target=""_blank"">ENSG00000199204</a>",Y_RNA,2.3,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000199204"" target=""_blank"">ENSG00000199204</a>",Y_RNA,2.3,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000199204"" target=""_blank"">ENSG00000199204</a>",Y_RNA,2.3,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000199217"" target=""_blank"">ENSG00000199217</a>",RNU6-1123P,3.0,snRNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000199240"" target=""_blank"">ENSG00000199240</a>",RNA5SP46,2.4,rRNA_pseudogene,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000199350"" target=""_blank"">ENSG00000199350</a>",RNA5SP432,2.6,rRNA_pseudogene,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000199471"" target=""_blank"">ENSG00000199471</a>",Y_RNA,1.6,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000199471"" target=""_blank"">ENSG00000199471</a>",Y_RNA,1.6,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000199471"" target=""_blank"">ENSG00000199471</a>",Y_RNA,1.6,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000199471"" target=""_blank"">ENSG00000199471</a>",Y_RNA,1.6,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000199471"" target=""_blank"">ENSG00000199471</a>",Y_RNA,1.6,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000199471"" target=""_blank"">ENSG00000199471</a>",Y_RNA,1.6,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000199471"" target=""_blank"">ENSG00000199471</a>",Y_RNA,1.6,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000199471"" target=""_blank"">ENSG00000199471</a>",Y_RNA,1.6,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000199471"" target=""_blank"">ENSG00000199471</a>",Y_RNA,1.6,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000199471"" target=""_blank"">ENSG00000199471</a>",Y_RNA,1.6,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000199471"" target=""_blank"">ENSG00000199471</a>",Y_RNA,1.6,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000199471"" target=""_blank"">ENSG00000199471</a>",Y_RNA,1.6,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000199471"" target=""_blank"">ENSG00000199471</a>",Y_RNA,1.6,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000199471"" target=""_blank"">ENSG00000199471</a>",Y_RNA,1.6,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000199471"" target=""_blank"">ENSG00000199471</a>",Y_RNA,1.6,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000199471"" target=""_blank"">ENSG00000199471</a>",Y_RNA,1.6,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000199471"" target=""_blank"">ENSG00000199471</a>",Y_RNA,1.6,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000199471"" target=""_blank"">ENSG00000199471</a>",Y_RNA,1.6,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000199471"" target=""_blank"">ENSG00000199471</a>",Y_RNA,1.6,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000199471"" target=""_blank"">ENSG00000199471</a>",Y_RNA,1.6,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000199471"" target=""_blank"">ENSG00000199471</a>",Y_RNA,1.6,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000199471"" target=""_blank"">ENSG00000199471</a>",Y_RNA,1.6,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000199471"" target=""_blank"">ENSG00000199471</a>",Y_RNA,1.6,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000199489"" target=""_blank"">ENSG00000199489</a>",SNORD115-25,2.6,,,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000199702"" target=""_blank"">ENSG00000199702</a>",RNU6-170P,1.5,snRNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000199836"" target=""_blank"">ENSG00000199836</a>",RNU1-47P,1.5,snRNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000199880"" target=""_blank"">ENSG00000199880</a>",RNU6-888P,1.5,snRNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000199895"" target=""_blank"">ENSG00000199895</a>",Y_RNA,3.3,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000199895"" target=""_blank"">ENSG00000199895</a>",Y_RNA,3.3,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000199895"" target=""_blank"">ENSG00000199895</a>",Y_RNA,3.3,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000199895"" target=""_blank"">ENSG00000199895</a>",Y_RNA,3.3,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000199895"" target=""_blank"">ENSG00000199895</a>",Y_RNA,3.3,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000199895"" target=""_blank"">ENSG00000199895</a>",Y_RNA,3.3,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000199895"" target=""_blank"">ENSG00000199895</a>",Y_RNA,3.3,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000199895"" target=""_blank"">ENSG00000199895</a>",Y_RNA,3.3,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000199895"" target=""_blank"">ENSG00000199895</a>",Y_RNA,3.3,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000199895"" target=""_blank"">ENSG00000199895</a>",Y_RNA,3.3,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000199895"" target=""_blank"">ENSG00000199895</a>",Y_RNA,3.3,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000199895"" target=""_blank"">ENSG00000199895</a>",Y_RNA,3.3,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000199895"" target=""_blank"">ENSG00000199895</a>",Y_RNA,3.3,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000199895"" target=""_blank"">ENSG00000199895</a>",Y_RNA,3.3,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000199895"" target=""_blank"">ENSG00000199895</a>",Y_RNA,3.3,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000199895"" target=""_blank"">ENSG00000199895</a>",Y_RNA,3.3,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000199895"" target=""_blank"">ENSG00000199895</a>",Y_RNA,3.3,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000199895"" target=""_blank"">ENSG00000199895</a>",Y_RNA,3.3,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000199895"" target=""_blank"">ENSG00000199895</a>",Y_RNA,3.3,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000199895"" target=""_blank"">ENSG00000199895</a>",Y_RNA,3.3,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000199895"" target=""_blank"">ENSG00000199895</a>",Y_RNA,3.3,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000199895"" target=""_blank"">ENSG00000199895</a>",Y_RNA,3.3,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000199895"" target=""_blank"">ENSG00000199895</a>",Y_RNA,3.3,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000199905"" target=""_blank"">ENSG00000199905</a>",RNU6-492P,1.6,snRNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000199936"" target=""_blank"">ENSG00000199936</a>",Y_RNA,2.1,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000199936"" target=""_blank"">ENSG00000199936</a>",Y_RNA,2.1,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000199936"" target=""_blank"">ENSG00000199936</a>",Y_RNA,2.1,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000199936"" target=""_blank"">ENSG00000199936</a>",Y_RNA,2.1,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000199936"" target=""_blank"">ENSG00000199936</a>",Y_RNA,2.1,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000199936"" target=""_blank"">ENSG00000199936</a>",Y_RNA,2.1,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000199936"" target=""_blank"">ENSG00000199936</a>",Y_RNA,2.1,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000199936"" target=""_blank"">ENSG00000199936</a>",Y_RNA,2.1,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000199936"" target=""_blank"">ENSG00000199936</a>",Y_RNA,2.1,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000199936"" target=""_blank"">ENSG00000199936</a>",Y_RNA,2.1,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000199936"" target=""_blank"">ENSG00000199936</a>",Y_RNA,2.1,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000199936"" target=""_blank"">ENSG00000199936</a>",Y_RNA,2.1,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000199936"" target=""_blank"">ENSG00000199936</a>",Y_RNA,2.1,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000199936"" target=""_blank"">ENSG00000199936</a>",Y_RNA,2.1,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000199936"" target=""_blank"">ENSG00000199936</a>",Y_RNA,2.1,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000199936"" target=""_blank"">ENSG00000199936</a>",Y_RNA,2.1,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000199936"" target=""_blank"">ENSG00000199936</a>",Y_RNA,2.1,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000199936"" target=""_blank"">ENSG00000199936</a>",Y_RNA,2.1,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000199936"" target=""_blank"">ENSG00000199936</a>",Y_RNA,2.1,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000199936"" target=""_blank"">ENSG00000199936</a>",Y_RNA,2.1,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000199936"" target=""_blank"">ENSG00000199936</a>",Y_RNA,2.1,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000199936"" target=""_blank"">ENSG00000199936</a>",Y_RNA,2.1,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000199936"" target=""_blank"">ENSG00000199936</a>",Y_RNA,2.1,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000200026"" target=""_blank"">ENSG00000200026</a>",U8,1.7,snoRNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000200026"" target=""_blank"">ENSG00000200026</a>",U8,1.7,snoRNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000200097"" target=""_blank"">ENSG00000200097</a>",RNU6-1167P,1.8,snRNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000200114"" target=""_blank"">ENSG00000200114</a>",RNA5SP123,1.9,rRNA_pseudogene,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000200152"" target=""_blank"">ENSG00000200152</a>",RNU6-216P,1.5,snRNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000200238"" target=""_blank"">ENSG00000200238</a>",RNA5SP133,1.6,rRNA_pseudogene,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000200325"" target=""_blank"">ENSG00000200325</a>",Y_RNA,1.5,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000200325"" target=""_blank"">ENSG00000200325</a>",Y_RNA,1.5,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000200325"" target=""_blank"">ENSG00000200325</a>",Y_RNA,1.5,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000200325"" target=""_blank"">ENSG00000200325</a>",Y_RNA,1.5,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000200325"" target=""_blank"">ENSG00000200325</a>",Y_RNA,1.5,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000200325"" target=""_blank"">ENSG00000200325</a>",Y_RNA,1.5,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000200325"" target=""_blank"">ENSG00000200325</a>",Y_RNA,1.5,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000200325"" target=""_blank"">ENSG00000200325</a>",Y_RNA,1.5,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000200325"" target=""_blank"">ENSG00000200325</a>",Y_RNA,1.5,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000200325"" target=""_blank"">ENSG00000200325</a>",Y_RNA,1.5,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000200325"" target=""_blank"">ENSG00000200325</a>",Y_RNA,1.5,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000200325"" target=""_blank"">ENSG00000200325</a>",Y_RNA,1.5,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000200325"" target=""_blank"">ENSG00000200325</a>",Y_RNA,1.5,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000200325"" target=""_blank"">ENSG00000200325</a>",Y_RNA,1.5,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000200325"" target=""_blank"">ENSG00000200325</a>",Y_RNA,1.5,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000200325"" target=""_blank"">ENSG00000200325</a>",Y_RNA,1.5,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000200325"" target=""_blank"">ENSG00000200325</a>",Y_RNA,1.5,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000200325"" target=""_blank"">ENSG00000200325</a>",Y_RNA,1.5,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000200325"" target=""_blank"">ENSG00000200325</a>",Y_RNA,1.5,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000200325"" target=""_blank"">ENSG00000200325</a>",Y_RNA,1.5,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000200325"" target=""_blank"">ENSG00000200325</a>",Y_RNA,1.5,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000200325"" target=""_blank"">ENSG00000200325</a>",Y_RNA,1.5,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000200325"" target=""_blank"">ENSG00000200325</a>",Y_RNA,1.5,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000200478"" target=""_blank"">ENSG00000200478</a>",SNORD115-41,2.2,,,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000200485"" target=""_blank"">ENSG00000200485</a>",Y_RNA,2.2,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000200485"" target=""_blank"">ENSG00000200485</a>",Y_RNA,2.2,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000200485"" target=""_blank"">ENSG00000200485</a>",Y_RNA,2.2,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000200485"" target=""_blank"">ENSG00000200485</a>",Y_RNA,2.2,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000200485"" target=""_blank"">ENSG00000200485</a>",Y_RNA,2.2,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000200485"" target=""_blank"">ENSG00000200485</a>",Y_RNA,2.2,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000200485"" target=""_blank"">ENSG00000200485</a>",Y_RNA,2.2,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000200485"" target=""_blank"">ENSG00000200485</a>",Y_RNA,2.2,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000200485"" target=""_blank"">ENSG00000200485</a>",Y_RNA,2.2,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000200485"" target=""_blank"">ENSG00000200485</a>",Y_RNA,2.2,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000200485"" target=""_blank"">ENSG00000200485</a>",Y_RNA,2.2,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000200485"" target=""_blank"">ENSG00000200485</a>",Y_RNA,2.2,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000200485"" target=""_blank"">ENSG00000200485</a>",Y_RNA,2.2,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000200485"" target=""_blank"">ENSG00000200485</a>",Y_RNA,2.2,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000200485"" target=""_blank"">ENSG00000200485</a>",Y_RNA,2.2,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000200485"" target=""_blank"">ENSG00000200485</a>",Y_RNA,2.2,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000200485"" target=""_blank"">ENSG00000200485</a>",Y_RNA,2.2,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000200485"" target=""_blank"">ENSG00000200485</a>",Y_RNA,2.2,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000200485"" target=""_blank"">ENSG00000200485</a>",Y_RNA,2.2,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000200485"" target=""_blank"">ENSG00000200485</a>",Y_RNA,2.2,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000200485"" target=""_blank"">ENSG00000200485</a>",Y_RNA,2.2,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000200485"" target=""_blank"">ENSG00000200485</a>",Y_RNA,2.2,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000200485"" target=""_blank"">ENSG00000200485</a>",Y_RNA,2.2,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000200521"" target=""_blank"">ENSG00000200521</a>",Y_RNA,1.5,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000200521"" target=""_blank"">ENSG00000200521</a>",Y_RNA,1.5,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000200521"" target=""_blank"">ENSG00000200521</a>",Y_RNA,1.5,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000200521"" target=""_blank"">ENSG00000200521</a>",Y_RNA,1.5,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000200521"" target=""_blank"">ENSG00000200521</a>",Y_RNA,1.5,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000200521"" target=""_blank"">ENSG00000200521</a>",Y_RNA,1.5,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000200521"" target=""_blank"">ENSG00000200521</a>",Y_RNA,1.5,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000200521"" target=""_blank"">ENSG00000200521</a>",Y_RNA,1.5,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000200521"" target=""_blank"">ENSG00000200521</a>",Y_RNA,1.5,misc_RNA,NaN,,,,,
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000200521"" target=""_blank"">ENSG00000200521</a>",Y_RNA,1.5,misc_RNA,NaN,,,,,
